user_id,role_id,username,role_name,schedule_bot_events,discord_scheduled_events,manual_interest_events
211750261922725888,1392210704140079360,basic_bit,Breakin',23,1,0
211750261922725888,1392210837330067712,basic_bit,Blender/Unity,27,1,0
211750261922725888,1392210886487445760,basic_bit,Coding,24,1,1
211750261922725888,1392210986387116032,basic_bit,ASL Class,1,0,0
211750261922725888,1392211149595869184,basic_bit,GOGO Dance,4,0,1
211750261922725888,1392211204864344064,basic_bit,Pole Dancing,1,0,0
211750261922725888,1392211365455724605,basic_bit,Meditation,12,0,1
211750261922725888,1392211714308837632,basic_bit,Podcasts,0,0,1
211750261922725888,1392212045323304960,basic_bit,Portal Posse,5,0,0
211750261922725888,1392213286644219904,basic_bit,VR Fundamentals,1,0,0
211750261922725888,1392213330457923584,basic_bit,Beyond Dance,8,0,1
211750261922725888,1392213840225112064,basic_bit,Music Production,4,0,1
211750261922725888,1392213888522518784,basic_bit,Sociology,1,0,0
215954273920483328,1392210454822260736,passtheketchup,Esoterics,1,0,0
215954273920483328,1392210837330067712,passtheketchup,Blender/Unity,1,0,0
215954273920483328,1392213330457923584,passtheketchup,Beyond Dance,1,0,0
217069029620318208,1392210510971277568,embryonic.synth,Vocal Class,0,1,0
217069029620318208,1392210566407524352,embryonic.synth,YOGA,0,1,1
217069029620318208,1392213840225112064,embryonic.synth,Music Production,0,0,1
221475839156420609,1163047310889062400,wh4tth3huh,DJ,1,0,0
221475839156420609,1392213840225112064,wh4tth3huh,Music Production,1,0,0
225071551148589056,1392210566407524352,queen_of_hearts,YOGA,0,1,1
225867532634947584,1392210510971277568,leisurelypie,Vocal Class,1,0,0
233815839806193664,1210262400985726976,foxyfoo,Community Manager,2,0,0
233815839806193664,1392210170439929856,foxyfoo,Photography,1,0,0
233815839806193664,1392210291437080576,foxyfoo,VIBE,2,0,0
233815839806193664,1392210454822260736,foxyfoo,Esoterics,2,0,0
233815839806193664,1392210510971277568,foxyfoo,Vocal Class,2,1,0
233815839806193664,1392210566407524352,foxyfoo,YOGA,0,2,1
233815839806193664,1392210704140079360,foxyfoo,Breakin',0,1,0
233815839806193664,1392210986387116032,foxyfoo,ASL Class,0,0,1
233815839806193664,1392211204864344064,foxyfoo,Pole Dancing,1,0,0
233815839806193664,1392211365455724605,foxyfoo,Meditation,2,0,1
233815839806193664,1392212045323304960,foxyfoo,Portal Posse,1,0,0
233815839806193664,1392213840225112064,foxyfoo,Music Production,0,0,1
246852491659051010,1392210704140079360,judgbin,Breakin',0,1,0
246852491659051010,1392210986387116032,judgbin,ASL Class,0,0,1
247019280816799744,1392210454822260736,gregorif,Esoterics,1,0,0
247019280816799744,1392211149595869184,gregorif,GOGO Dance,8,0,1
248590944004341761,1392210837330067712,wiccke,Blender/Unity,1,0,0
249373049214861313,1210262400985726976,hypophrenia,Community Manager,1,0,0
249373049214861313,1392210075950649088,hypophrenia,Waltz,2,0,0
249373049214861313,1392210116924674304,hypophrenia,Bachata,1,0,0
249373049214861313,1392210170439929856,hypophrenia,Photography,1,0,0
249373049214861313,1392210291437080576,hypophrenia,VIBE,2,0,0
249373049214861313,1392210454822260736,hypophrenia,Esoterics,1,0,0
249373049214861313,1392210510971277568,hypophrenia,Vocal Class,3,0,0
249373049214861313,1392210566407524352,hypophrenia,YOGA,3,0,0
