role_id,role_name,user_id,username,total_events,schedule_bot_events,discord_scheduled_events,manual_interest_events,source_types
1392210704140079360,Breakin',170914233670696960,sleightlyout,1,0,1,0,discord_scheduled
1210262400985726976,Community Manager,175304048310747137,illucio,1,1,0,0,schedule_bot
1392210510971277568,Vocal Class,175304048310747137,illucio,2,2,0,0,schedule_bot
1392210566407524352,YOGA,175304048310747137,illucio,2,2,0,0,schedule_bot
1392210510971277568,Vocal Class,177766183775240192,punkarts,2,2,0,0,schedule_bot
1392213840225112064,Music Production,177766183775240192,punkarts,1,1,0,0,schedule_bot
1392210704140079360,Breakin',177930966252257290,pendikun,1,0,1,0,discord_scheduled
1392211149595869184,GOGO Dance,178950222913863682,djlimitbreak,1,1,0,0,schedule_bot
1163047310889062400,DJ,180340126944067585,airbee_,1,1,0,0,schedule_bot
1392210075950649088,Waltz,180340126944067585,airbee_,7,7,0,0,schedule_bot
1392210116924674304,Bachata,180340126944067585,airbee_,5,5,0,0,schedule_bot
1392210510971277568,Vocal Class,180340126944067585,airbee_,1,1,0,0,schedule_bot
1392210655318114304,Wotagei,180340126944067585,airbee_,1,1,0,0,schedule_bot
1392210704140079360,Breakin',180340126944067585,airbee_,1,1,0,0,schedule_bot
1392209677282185728,Animation Dance,182009410837544960,red.riding.hood,1,1,0,0,schedule_bot
1392210075950649088,Waltz,182009410837544960,red.riding.hood,1,1,0,0,schedule_bot
1392210116924674304,Bachata,182009410837544960,red.riding.hood,4,4,0,0,schedule_bot
1392210393224450048,LOFT,182009410837544960,red.riding.hood,1,1,0,0,schedule_bot
1392210510971277568,Vocal Class,182009410837544960,red.riding.hood,5,5,0,0,schedule_bot
1392210655318114304,Wotagei,182009410837544960,red.riding.hood,1,1,0,0,schedule_bot
1392210704140079360,Breakin',182009410837544960,red.riding.hood,2,2,0,0,schedule_bot
1392211149595869184,GOGO Dance,182009410837544960,red.riding.hood,3,3,0,0,schedule_bot
1392213330457923584,Beyond Dance,182009410837544960,red.riding.hood,1,1,0,0,schedule_bot
1392210566407524352,YOGA,183720544120602624,hunniibunny,2,0,1,1,"discord_scheduled,manual_discord_interest"
1392213840225112064,Music Production,192761893239128064,.catz,1,0,0,1,manual_discord_interest
1392210566407524352,YOGA,193030106636091393,okamiyoru,1,0,1,0,discord_scheduled
