role_id,role_name,user_id,username,event_count,first_event,last_event,source_types
1392210837330067712,Blender/Unity,215954273920483328,kitpup,1,2025-01-29 01:00:00,2025-01-29 01:00:00,schedule_bot
1392210837330067712,Blender/Unity,283102779772502016,mrwattsvr,1,2025-01-29 01:00:00,2025-01-29 01:00:00,schedule_bot
1392210704140079360,Breakin',211750261922725888,basic_bit,23,2025-01-28 04:00:00,2025-08-04T21:00:00+00:00,"discord_scheduled,schedule_bot"
1392210704140079360,Breakin',831383622199541790,taglog7,5,2025-02-10 22:00:00,2025-08-04T21:00:00+00:00,"discord_scheduled,schedule_bot"
1392210704140079360,Breakin',126086140846407680,dro29,4,2025-02-10 22:00:00,2025-08-04T21:00:00+00:00,"discord_scheduled,schedule_bot"
1392210704140079360,Breakin',340304794445021186,mismos,3,2025-03-17 21:00:00,2025-08-04T21:00:00+00:00,"discord_scheduled,schedule_bot"
1392210704140079360,Breakin',758734374119145504,n0cturnal._,3,2025-02-10 22:00:00,2025-08-04T21:00:00+00:00,"discord_scheduled,schedule_bot"
1392210704140079360,Breakin',1022547160975294566,touchmesama6,3,2025-02-03 22:00:00,2025-04-14 21:00:00,schedule_bot
1392210704140079360,Breakin',92804996990500864,danielmight,3,2025-02-03 22:00:00,2025-02-24 22:00:00,schedule_bot
1392210704140079360,Breakin',804740624191324190,starcluster1231,2,2025-07-28 21:00:00,2025-08-04T21:00:00+00:00,"discord_scheduled,schedule_bot"
1392210704140079360,Breakin',182009410837544960,basic_bit,2,2025-03-10 21:00:00,2025-03-17 21:00:00,schedule_bot
1392210704140079360,Breakin',416698777089343488,hypophrenia,2,2025-03-03 22:00:00,2025-03-10 21:00:00,schedule_bot
1392210704140079360,Breakin',633012337519099914,red.riding.hood,2,2025-02-03 22:00:00,2025-03-10 21:00:00,schedule_bot
1392210704140079360,Breakin',333958698877845504,hamocorp,2,2025-02-03 22:00:00,2025-02-24 22:00:00,schedule_bot
1392210704140079360,Breakin',206146702464385024,bboy.jin,2,2025-02-03 22:00:00,2025-08-04T21:00:00+00:00,"discord_scheduled,schedule_bot"
1392210704140079360,Breakin',180340126944067585,airbee_,1,2025-04-07 21:00:00,2025-04-07 21:00:00,schedule_bot
1392210704140079360,Breakin',325830164086915072,iimazikeen,1,2025-03-31 21:00:00,2025-03-31 21:00:00,schedule_bot
1392210704140079360,Breakin',134693354620452865,basic_bit,1,2025-03-10 21:00:00,2025-03-10 21:00:00,schedule_bot
1392210704140079360,Breakin',249373049214861313,danielmight,1,2025-03-10 21:00:00,2025-03-10 21:00:00,schedule_bot
1392210704140079360,Breakin',169968484263002113,elliesaurus,1,2025-02-24 22:00:00,2025-02-24 22:00:00,schedule_bot
1392210704140079360,Breakin',821214940719218720,mrwattsvr,1,2025-02-10 22:00:00,2025-02-10 22:00:00,schedule_bot
1392210704140079360,Breakin',407788360728313866,hamocorp,1,2025-02-03 22:00:00,2025-02-03 22:00:00,schedule_bot
1392210704140079360,Breakin',1265246005411053681,taglog7,1,2025-02-03 22:00:00,2025-02-03 22:00:00,schedule_bot
1392210704140079360,Breakin',283102779772502016,blackbelt33,1,2025-01-28 04:00:00,2025-01-28 04:00:00,schedule_bot
1392210704140079360,Breakin',102911741737828352,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',103767981187694592,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',135691742937612288,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',147237351788118018,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',170914233670696960,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',177930966252257290,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',193030106636091393,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',204740758681550848,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',233815839806193664,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',246852491659051010,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',299329673400156171,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',319180375790321666,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',323525585903288342,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',333773755648311296,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',384149389809025024,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',410270160406970369,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',428436921761398784,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',429231435631689728,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',464591110245974016,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',526694934212771840,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',530930867124568080,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',686914103804952589,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',700373107843661841,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',736453436681486356,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',978226033520164895,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210704140079360,Breakin',1206170078232449115,Discord Event Subscriber,1,2025-08-04T21:00:00+00:00,2025-08-04T21:00:00+00:00,discord_scheduled
1392210349956009984,CHILL,764697065351544863,wickedproxy,2,2025-03-26 03:00:00,2025-04-30 03:00:00,schedule_bot
1392210886487445760,Coding,211750261922725888,basic_bit,26,2025-01-29 22:00:00,manual_collection,"discord_scheduled,manual_discord_interest,schedule_bot"
1392210886487445760,Coding,209711249343119360,basic_bit,3,2025-07-03 21:00:00,2025-07-17 21:00:00,schedule_bot
1392210886487445760,Coding,387399668008484864,smallfry3694,3,2025-02-19 22:00:00,manual_collection,"discord_scheduled,manual_discord_interest,schedule_bot"
1392210886487445760,Coding,1063573805160747068,basic_bit,2,2025-02-05 22:00:00,2025-08-07T21:00:00+00:00,"discord_scheduled,schedule_bot"
1392210886487445760,Coding,428436921761398784,Discord Event Subscriber,2,2025-08-07T21:00:00+00:00,manual_collection,"discord_scheduled,manual_discord_interest"
1392210886487445760,Coding,264292721542430720,mrmaximus97,1,2025-07-17 21:00:00,2025-07-17 21:00:00,schedule_bot
1392210886487445760,Coding,101499886884651008,basic_bit,1,2025-06-19 21:00:00,2025-06-19 21:00:00,schedule_bot
1392210886487445760,Coding,249373049214861313,no_44,1,2025-06-19 21:00:00,2025-06-19 21:00:00,schedule_bot
1392210886487445760,Coding,510003485417275393,sillybit666,1,2025-02-26 22:00:00,2025-02-26 22:00:00,schedule_bot
1392210886487445760,Coding,283102779772502016,blackbelt33,1,2025-01-29 22:00:00,2025-01-29 22:00:00,schedule_bot
1392210886487445760,Coding,821214940719218720,mrwattsvr,1,2025-01-29 22:00:00,2025-01-29 22:00:00,schedule_bot
1392210886487445760,Coding,758734374119145504,Discord Event Subscriber,1,2025-08-07T21:00:00+00:00,2025-08-07T21:00:00+00:00,discord_scheduled
1392210886487445760,Coding,1099544873364889732,Discord Event Subscriber,1,2025-08-07T21:00:00+00:00,2025-08-07T21:00:00+00:00,discord_scheduled
1392210886487445760,Coding,1194433928778493984,Discord Event Subscriber,1,2025-08-07T21:00:00+00:00,2025-08-07T21:00:00+00:00,discord_scheduled
1392210886487445760,Coding,758734374119145472,TouchMeSama,1,manual_collection,manual_collection,manual_discord_interest
1392210886487445760,Coding,1063573805160747008,Ydayhawk,1,manual_collection,manual_collection,manual_discord_interest
1392210886487445760,Coding,1099544873364889600,ShroomyBliss,1,manual_collection,manual_collection,manual_discord_interest
1210262400985726976,Community Manager,764697065351544863,wickedproxy,21,2025-02-24 01:00:00,2025-08-04 00:00:00,schedule_bot
1210262400985726976,Community Manager,211750261922725888,basic_bit,18,2025-03-03 01:00:00,2025-08-04 00:00:00,schedule_bot
1210262400985726976,Community Manager,264292721542430720,mismos,7,2025-05-26 00:00:00,2025-08-04 00:00:00,schedule_bot
1210262400985726976,Community Manager,261014673678270464,kitpup,3,2025-03-31 00:00:00,2025-05-12 00:00:00,schedule_bot
1210262400985726976,Community Manager,233815839806193664,foxyfoo,2,2025-06-02 00:00:00,2025-06-09 00:00:00,schedule_bot
1210262400985726976,Community Manager,718150787670212759,skulteran,2,2025-04-07 00:00:00,2025-05-05 00:00:00,schedule_bot
1210262400985726976,Community Manager,428436921761398784,theblindprophet,2,2025-03-03 01:00:00,2025-03-03 01:00:00,schedule_bot
1210262400985726976,Community Manager,340304794445021186,mrmaximus97,1,2025-08-04 00:00:00,2025-08-04 00:00:00,schedule_bot
1210262400985726976,Community Manager,1118233964616888402,wickedproxy,1,2025-07-28 00:00:00,2025-07-28 00:00:00,schedule_bot
1210262400985726976,Community Manager,209711249343119360,basic_bit,1,2025-07-07 00:00:00,2025-07-07 00:00:00,schedule_bot
1210262400985726976,Community Manager,101499886884651008,basic_bit,1,2025-06-23 00:00:00,2025-06-23 00:00:00,schedule_bot
1210262400985726976,Community Manager,249373049214861313,mr_anderson_c137,1,2025-06-23 00:00:00,2025-06-23 00:00:00,schedule_bot
1210262400985726976,Community Manager,946756867160436756,wickedproxy,1,2025-06-23 00:00:00,2025-06-23 00:00:00,schedule_bot
1210262400985726976,Community Manager,955517810753290300,wickedproxy,1,2025-06-02 00:00:00,2025-06-02 00:00:00,schedule_bot
1210262400985726976,Community Manager,388864412624093214,trippyhelix,1,2025-04-28 00:00:00,2025-04-28 00:00:00,schedule_bot
1210262400985726976,Community Manager,1350531000308072630,wickedproxy,1,2025-03-31 00:00:00,2025-03-31 00:00:00,schedule_bot
1210262400985726976,Community Manager,175304048310747137,basic_bit,1,2025-03-10 00:00:00,2025-03-10 00:00:00,schedule_bot
1163047310889062400,DJ,211750261922725888,basic_bit,30,2025-01-28 07:00:00,2025-08-02 21:00:00,schedule_bot
